"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @jerseyjazzman: Jeb!’s trouble with data and facts regarding education policy is legendary: https://t.co/SP20V29CTA #thesmartone? https:…",FALSE,0,NA,2017-11-28 23:34:57,FALSE,NA,"935653267039801344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bledwine",6,TRUE,FALSE,NA,NA
"RT @funnymonkey: Uber compromised the personal information of 57 million people - users and drivers. Then, they lied about it, and paid the…",FALSE,0,NA,2017-11-21 23:09:35,FALSE,NA,"933110171374641152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrMikeVasquez",14,TRUE,FALSE,NA,NA
"RT @funnymonkey: Uber compromised the personal information of 57 million people - users and drivers. Then, they lied about it, and paid the…",FALSE,0,NA,2017-11-21 23:26:12,FALSE,NA,"933114349782122496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ResistDawg",14,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: Review of #MachineLearning A-Z™ Hands-On #Python &amp; #R In #DataScience 

https://t.co/qKEopzwJtU 

#DataScientist #DataScien…",FALSE,0,NA,2017-11-21 22:25:19,FALSE,NA,"933099030506172417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jadirectivestwt",47,TRUE,FALSE,NA,NA
"RT @funnymonkey: Uber compromised the personal information of 57 million people - users and drivers. Then, they lied about it, and paid the…",FALSE,0,NA,2017-11-21 23:27:26,FALSE,NA,"933114662752731136",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","onealchris",14,TRUE,FALSE,NA,NA
"RT @Fisher85M: Hadoop in the Enterprise {Infographic}

#BigData #education #Hadoop #smm #SME #Analytics #DataScience #cloud #data #IoT #fin…",FALSE,0,NA,2017-11-28 19:25:53,FALSE,NA,"935590587037769729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","steph_princess0",49,TRUE,FALSE,NA,NA
"Over half of #MBAs at ranked programs have an undergrad degree in Business or Engineering. See more data from US Ne… https://t.co/XzZGw4HUnJ",FALSE,0,NA,2017-11-21 23:33:09,TRUE,NA,"933116098651680768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GMATgenius",0,FALSE,FALSE,NA,NA
"@mncathschools teachers from the Manning Region GEL schools share their data at the Gifted Education Lead Schools S… https://t.co/nvWZop18ru",FALSE,0,"mncathschools",2017-11-21 23:34:51,TRUE,NA,"933116530224590849","725202812645187585","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shan_hall00",0,FALSE,FALSE,NA,NA
"Here are 4 ways to protect your #SMB this holiday season: https://t.co/bUfFMRM1qv https://t.co/K8ZNfESlar",FALSE,0,NA,2017-11-28 19:25:09,FALSE,NA,"935590403427962881",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CyberPolicy_com",0,FALSE,FALSE,NA,NA
"RT @PodcastEdtech: Peter Foltz @42born2code @pearson talks #privacy #data &amp; #algorithm #bias in ep2 latest series 

Listen &gt; https://t.co/6…",FALSE,0,NA,2017-11-21 22:07:42,FALSE,NA,"933094597969944578",NA,"<a href=""http://insidestat.nl"" rel=""nofollow"">insidestat_account_bm</a>","insidestat",1,TRUE,FALSE,NA,NA
"awswhatsnewHow Am I Doing ?  A big data approach to life - wealth, health, family, children, education,...:… https://t.co/wmndnt1aSF",FALSE,0,NA,2017-11-21 23:36:52,TRUE,NA,"933117033964822528",NA,"<a href=""Http://www.hwswworld.com"" rel=""nofollow"">Doesnothaveanameyet</a>","ClouDatAI",0,FALSE,FALSE,NA,NA
"RT @jacobinmag: .@MattBruenig crunched the latest numbers on student debt levels. They're astronomical. https://t.co/1Su0VNBmWb",FALSE,0,NA,2017-11-28 19:28:49,FALSE,NA,"935591326221000704",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Moonbootica",59,TRUE,FALSE,NA,NA
"RT @briankrebs: Updated my story on the data potentially exposed by FAFSA applicants to include a response from the Dept. of Education. The…",FALSE,0,NA,2017-11-28 18:32:49,FALSE,NA,"935577233896493056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MAV_Sec",23,TRUE,FALSE,NA,NA
"RT @GMTSVersion: Citizen science utilizes volunteers to collect data, and is a great way to engage and education both students and... https…",FALSE,0,NA,2017-11-21 23:46:26,FALSE,NA,"933119445056217088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luckypgi",2,TRUE,FALSE,NA,NA
"RT @Fisher85M: Hadoop in the Enterprise {Infographic}

#BigData #education #Hadoop #smm #SME #Analytics #DataScience #cloud #data #IoT #fin…",FALSE,0,NA,2017-11-28 23:19:03,FALSE,NA,"935649266651017216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ParomaDatta",49,TRUE,FALSE,NA,NA
"RT @Ronald_vanLoon: Will You Graduate? Ask Big Data | #BigData #Analytics #RT https://t.co/TORdQZCuCX https://t.co/VuqNnWdze7",FALSE,0,NA,2017-11-21 23:48:35,FALSE,NA,"933119983793696768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Abrar_ahmd",16,TRUE,FALSE,NA,NA
"RT @WPSProject: When #women have higher access to education and labor force participation, women leaders exercise more power. 

Learn more…",FALSE,0,NA,2017-11-28 22:32:27,FALSE,NA,"935637541683900416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SDGMediaZone",6,TRUE,FALSE,NA,NA
"RT @miotei: This says so much. Youth not in employment, education or training (NEET): #ITA 26%; #SPA 22%; #FRA 17%; #POR 16%; #USA 14%; #UK…",FALSE,0,NA,2017-11-21 23:50:04,FALSE,NA,"933120356604416000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","godoitos",41,TRUE,FALSE,NA,NA
"RT @artlust: Help get to 100. Were only at 15--Thinking about Museum Education concerns in 2018? Let's join forces. Share thoughts in 4 min…",FALSE,0,NA,2017-11-21 23:00:05,FALSE,NA,"933107777488216064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","innova2",7,TRUE,FALSE,NA,NA
